[s],CH2[V]
-2.680E-08,-1.851E-03
-2.640E-08,-1.851E-03
-2.600E-08,-1.771E-03
-2.560E-08,-1.691E-03
-2.520E-08,-1.611E-03
-2.480E-08,-1.531E-03
-2.440E-08,-1.531E-03
-2.400E-08,-1.531E-03
-2.360E-08,-1.531E-03
-2.320E-08,-1.531E-03
-2.280E-08,-1.531E-03
-2.240E-08,-1.531E-03
-2.200E-08,-1.691E-03
-2.160E-08,-1.691E-03
-2.120E-08,-1.771E-03
-2.080E-08,-1.851E-03
-2.040E-08,-1.851E-03
-2.000E-08,-1.851E-03
-1.960E-08,-1.771E-03
-1.920E-08,-1.771E-03
-1.880E-08,-1.771E-03
-1.840E-08,-1.771E-03
-1.800E-08,-1.691E-03
-1.760E-08,-1.611E-03
-1.720E-08,-1.531E-03
-1.680E-08,-1.451E-03
-1.640E-08,-1.371E-03
-1.600E-08,-1.211E-03
-1.560E-08,-1.051E-03
-1.520E-08,-8.905E-04
-1.480E-08,-8.105E-04
-1.440E-08,-6.505E-04
-1.400E-08,-4.905E-04
-1.360E-08,-3.305E-04
-1.320E-08,-2.505E-04
-1.280E-08,-1.705E-04
-1.240E-08,-9.052E-05
-1.200E-08,-1.052E-05
-1.160E-08,-1.052E-05
-1.120E-08,6.947E-05
-1.080E-08,1.495E-04
-1.040E-08,1.495E-04
-1.000E-08,1.495E-04
-9.600E-09,6.947E-05
-9.200E-09,6.947E-05
-8.800E-09,6.947E-05
-8.400E-09,-1.052E-05
-8.000E-09,-1.052E-05
-7.600E-09,-9.052E-05
-7.200E-09,-9.052E-05
-6.800E-09,-9.052E-05
-6.400E-09,-1.705E-04
-6.000E-09,-1.705E-04
-5.600E-09,-1.705E-04
-5.200E-09,-9.052E-05
-4.800E-09,-1.052E-05
-4.400E-09,6.947E-05
-4.000E-09,3.095E-04
-3.600E-09,4.695E-04
-3.200E-09,5.495E-04
-2.800E-09,6.295E-04
-2.400E-09,7.095E-04
-2.000E-09,7.895E-04
-1.600E-09,7.895E-04
-1.200E-09,7.895E-04
-8.000E-10,7.895E-04
-4.000E-10,7.095E-04
-9.492E-15,7.095E-04
4.000E-10,7.095E-04
8.000E-10,7.895E-04
1.200E-09,8.695E-04
1.600E-09,8.695E-04
2.000E-09,1.029E-03
2.400E-09,1.109E-03
2.800E-09,1.189E-03
3.200E-09,1.269E-03
3.600E-09,1.269E-03
4.000E-09,1.429E-03
4.400E-09,1.429E-03
4.800E-09,1.509E-03
5.200E-09,1.509E-03
5.600E-09,1.509E-03
6.000E-09,1.509E-03
6.400E-09,1.429E-03
6.800E-09,1.349E-03
7.200E-09,1.269E-03
7.600E-09,1.269E-03
8.000E-09,1.189E-03
8.400E-09,1.109E-03
8.800E-09,1.109E-03
9.200E-09,1.029E-03
9.600E-09,1.029E-03
1.000E-08,9.495E-04
1.040E-08,8.695E-04
1.080E-08,8.695E-04
1.120E-08,8.695E-04
1.160E-08,7.895E-04
1.200E-08,7.895E-04
1.240E-08,7.095E-04
1.280E-08,7.095E-04
1.320E-08,7.095E-04
1.360E-08,6.295E-04
1.400E-08,6.295E-04
1.440E-08,6.295E-04
1.480E-08,6.295E-04
1.520E-08,6.295E-04
1.560E-08,7.095E-04
1.600E-08,7.095E-04
1.640E-08,7.895E-04
1.680E-08,7.895E-04
1.720E-08,7.895E-04
1.760E-08,8.695E-04
1.800E-08,1.029E-03
1.840E-08,1.109E-03
1.880E-08,1.189E-03
1.920E-08,1.269E-03
1.960E-08,1.269E-03
2.000E-08,1.429E-03
2.040E-08,1.429E-03
2.080E-08,1.509E-03
2.120E-08,1.509E-03
2.160E-08,1.589E-03
2.200E-08,1.589E-03
2.240E-08,1.669E-03
2.280E-08,1.669E-03
2.320E-08,1.669E-03
2.360E-08,1.669E-03
2.400E-08,1.669E-03
2.440E-08,1.749E-03
2.480E-08,1.749E-03
2.520E-08,1.749E-03
2.560E-08,1.749E-03
2.600E-08,1.749E-03
2.640E-08,1.669E-03
2.680E-08,1.669E-03
2.720E-08,1.669E-03
2.760E-08,1.589E-03
2.800E-08,1.589E-03
2.840E-08,1.509E-03
2.880E-08,1.429E-03
2.920E-08,1.349E-03
2.960E-08,1.189E-03
3.000E-08,1.029E-03
3.040E-08,9.495E-04
3.080E-08,8.695E-04
3.120E-08,7.895E-04
3.160E-08,6.295E-04
3.200E-08,4.695E-04
3.240E-08,3.895E-04
3.280E-08,3.895E-04
3.320E-08,3.895E-04
3.360E-08,3.895E-04
3.400E-08,5.495E-04
3.440E-08,6.295E-04
3.480E-08,7.895E-04
3.520E-08,9.495E-04
3.560E-08,1.109E-03
3.600E-08,1.429E-03
3.640E-08,1.429E-03
3.680E-08,1.509E-03
3.720E-08,1.589E-03
3.760E-08,1.589E-03
3.800E-08,1.429E-03
3.840E-08,1.349E-03
3.880E-08,1.269E-03
3.920E-08,1.189E-03
3.960E-08,1.109E-03
4.000E-08,9.495E-04
4.040E-08,7.895E-04
4.080E-08,6.295E-04
4.120E-08,5.495E-04
4.160E-08,3.895E-04
4.200E-08,2.295E-04
4.240E-08,6.947E-05
4.280E-08,-1.052E-05
4.320E-08,-9.052E-05
4.360E-08,-9.052E-05
4.400E-08,-2.505E-04
4.440E-08,-3.305E-04
4.480E-08,-3.305E-04
4.520E-08,-3.305E-04
4.560E-08,-3.305E-04
4.600E-08,-3.305E-04
4.640E-08,-3.305E-04
4.680E-08,-3.305E-04
4.720E-08,-3.305E-04
4.760E-08,-2.505E-04
4.800E-08,-2.505E-04
4.840E-08,-2.505E-04
4.880E-08,-2.505E-04
4.920E-08,-2.505E-04
4.960E-08,-2.505E-04
5.000E-08,-4.105E-04
5.040E-08,-4.905E-04
5.080E-08,-5.705E-04
5.120E-08,-6.505E-04
5.160E-08,-7.305E-04
5.200E-08,-8.905E-04
5.240E-08,-1.051E-03
5.280E-08,-1.131E-03
5.320E-08,-1.211E-03
5.360E-08,-1.291E-03
5.400E-08,-1.291E-03
5.440E-08,-1.291E-03
5.480E-08,-1.211E-03
5.520E-08,-1.131E-03
5.560E-08,-1.131E-03
5.600E-08,-1.051E-03
5.640E-08,-9.705E-04
5.680E-08,-9.705E-04
5.720E-08,-8.905E-04
5.760E-08,-8.905E-04
5.800E-08,-7.305E-04
5.840E-08,-7.305E-04
5.880E-08,-7.305E-04
5.920E-08,-7.305E-04
5.960E-08,-7.305E-04
6.000E-08,-7.305E-04
6.040E-08,-7.305E-04
6.080E-08,-8.105E-04
6.120E-08,-8.105E-04
6.160E-08,-8.905E-04
6.200E-08,-1.051E-03
6.240E-08,-1.131E-03
6.280E-08,-1.211E-03
6.320E-08,-1.291E-03
6.360E-08,-1.451E-03
6.400E-08,-1.611E-03
6.440E-08,-1.771E-03
6.480E-08,-1.851E-03
6.520E-08,-1.931E-03
6.560E-08,-2.011E-03
6.600E-08,-2.171E-03
6.640E-08,-2.251E-03
6.680E-08,-2.251E-03
6.720E-08,-2.251E-03
6.760E-08,-2.251E-03
6.800E-08,-2.251E-03
6.840E-08,-2.171E-03
6.880E-08,-2.091E-03
6.920E-08,-2.011E-03
6.960E-08,-1.931E-03
7.000E-08,-1.611E-03
7.040E-08,-1.531E-03
7.080E-08,-1.451E-03
7.120E-08,-1.371E-03
7.160E-08,-1.371E-03
7.200E-08,-1.371E-03
7.240E-08,-1.291E-03
7.280E-08,-1.291E-03
7.320E-08,-1.291E-03
7.360E-08,-1.291E-03
7.400E-08,-1.371E-03
7.440E-08,-1.451E-03
7.480E-08,-1.451E-03
7.520E-08,-1.451E-03
7.560E-08,-1.531E-03
7.600E-08,-1.531E-03
7.640E-08,-1.531E-03
7.680E-08,-1.531E-03
7.720E-08,-1.451E-03
7.760E-08,-1.371E-03
7.800E-08,-1.371E-03
7.840E-08,-1.451E-03
7.880E-08,-1.451E-03
7.920E-08,-1.451E-03
7.960E-08,-1.371E-03
8.000E-08,-1.371E-03
8.040E-08,-1.371E-03
8.080E-08,-1.371E-03
8.120E-08,-1.371E-03
8.160E-08,-1.291E-03
8.200E-08,-1.131E-03
8.240E-08,-1.051E-03
8.280E-08,-1.051E-03
8.320E-08,-1.051E-03
8.360E-08,-1.051E-03
8.400E-08,-1.051E-03
8.440E-08,-1.051E-03
8.480E-08,-1.051E-03
8.520E-08,-1.051E-03
8.560E-08,-1.051E-03
8.600E-08,-1.051E-03
8.640E-08,-9.705E-04
8.680E-08,-8.905E-04
8.720E-08,-8.105E-04
8.760E-08,-7.305E-04
8.800E-08,-4.905E-04
8.840E-08,-3.305E-04
8.880E-08,-1.705E-04
8.920E-08,-1.052E-05
8.960E-08,6.947E-05
9.000E-08,3.095E-04
9.040E-08,3.895E-04
9.080E-08,4.695E-04
9.120E-08,4.695E-04
9.160E-08,4.695E-04
9.200E-08,3.095E-04
9.240E-08,2.295E-04
9.280E-08,6.947E-05
9.320E-08,-1.052E-05
9.360E-08,-1.705E-04
9.400E-08,-3.305E-04
9.440E-08,-4.105E-04
9.480E-08,-4.105E-04
9.520E-08,-4.105E-04
9.560E-08,-4.105E-04
9.600E-08,-2.505E-04
9.640E-08,-1.705E-04
9.680E-08,-1.052E-05
9.720E-08,1.495E-04
9.760E-08,3.895E-04
9.800E-08,7.095E-04
9.840E-08,8.695E-04
9.880E-08,9.495E-04
9.920E-08,1.029E-03
9.960E-08,1.109E-03
1.000E-07,1.269E-03
1.004E-07,1.189E-03
1.008E-07,1.189E-03
1.012E-07,1.189E-03
1.016E-07,1.109E-03
1.020E-07,9.495E-04
1.024E-07,9.495E-04
1.028E-07,8.695E-04
1.032E-07,8.695E-04
1.036E-07,7.895E-04
1.040E-07,7.895E-04
1.044E-07,7.095E-04
1.048E-07,7.095E-04
1.052E-07,7.095E-04
1.056E-07,7.095E-04
1.060E-07,7.095E-04
1.064E-07,7.095E-04
1.068E-07,7.095E-04
1.072E-07,7.095E-04
1.076E-07,7.895E-04
1.080E-07,7.895E-04
1.084E-07,7.895E-04
1.088E-07,8.695E-04
1.092E-07,9.495E-04
1.096E-07,1.029E-03
1.100E-07,1.109E-03
1.104E-07,1.189E-03
1.108E-07,1.189E-03
1.112E-07,1.269E-03
1.116E-07,1.269E-03
1.120E-07,1.349E-03
1.124E-07,1.429E-03
1.128E-07,1.429E-03
1.132E-07,1.429E-03
1.136E-07,1.509E-03
1.140E-07,1.669E-03
1.144E-07,1.749E-03
1.148E-07,1.829E-03
1.152E-07,1.909E-03
1.156E-07,1.989E-03
1.160E-07,2.149E-03
1.164E-07,2.149E-03
1.168E-07,2.069E-03
1.172E-07,1.989E-03
1.176E-07,1.909E-03
1.180E-07,1.749E-03
1.184E-07,1.669E-03
1.188E-07,1.589E-03
1.192E-07,1.509E-03
1.196E-07,1.349E-03
1.200E-07,1.189E-03
